__run_id,__done,DFO,Library,DataFrame size,execution_time,executions_per_minute
run_36_repetition_0,DONE,merge,Pandas,Small,12006000,4997
run_14_repetition_0,TODO,sort,Modin,Small, , 
run_3_repetition_0,TODO,isna,Dask,Small, , 
run_35_repetition_0,TODO,concat,Dask,Small, , 
run_22_repetition_0,TODO,drop,Modin,Small, , 
run_12_repetition_0,TODO,sort,Pandas,Small, , 
run_4_repetition_0,TODO,replace,Pandas,Small, , 
run_39_repetition_0,TODO,merge,Dask,Small, , 
run_6_repetition_0,TODO,replace,Modin,Small, , 
run_7_repetition_0,TODO,replace,Dask,Small, , 
run_8_repetition_0,TODO,groupby,Pandas,Small, , 
run_11_repetition_0,TODO,groupby,Dask,Small, , 
run_38_repetition_0,TODO,merge,Modin,Small, , 
run_26_repetition_0,TODO,dropna,Modin,Small, , 
run_19_repetition_0,TODO,mean,Dask,Small, , 
run_20_repetition_0,TODO,drop,Pandas,Small, , 
run_28_repetition_0,TODO,fillna,Pandas,Small, , 
run_5_repetition_0,TODO,replace,Polars,Small, , 
run_0_repetition_0,TODO,isna,Pandas,Small, , 
run_10_repetition_0,TODO,groupby,Modin,Small, , 
run_15_repetition_0,TODO,sort,Dask,Small, , 
run_17_repetition_0,TODO,mean,Polars,Small, , 
run_1_repetition_0,TODO,isna,Polars,Small, , 
run_9_repetition_0,TODO,groupby,Polars,Small, , 
run_23_repetition_0,TODO,drop,Dask,Small, , 
run_18_repetition_0,TODO,mean,Modin,Small, , 
run_21_repetition_0,TODO,drop,Polars,Small, , 
run_2_repetition_0,TODO,isna,Modin,Small, , 
run_30_repetition_0,TODO,fillna,Modin,Small, , 
run_34_repetition_0,TODO,concat,Modin,Small, , 
run_16_repetition_0,TODO,mean,Pandas,Small, , 
run_37_repetition_0,TODO,merge,Polars,Small, , 
run_24_repetition_0,TODO,dropna,Pandas,Small, , 
run_25_repetition_0,TODO,dropna,Polars,Small, , 
run_27_repetition_0,TODO,dropna,Dask,Small, , 
run_31_repetition_0,TODO,fillna,Dask,Small, , 
run_13_repetition_0,TODO,sort,Polars,Small, , 
run_33_repetition_0,TODO,concat,Polars,Small, , 
run_29_repetition_0,TODO,fillna,Polars,Small, , 
run_32_repetition_0,TODO,concat,Pandas,Small, , 
