__run_id,__done,DFO,Library,DataFrame size,execution_time,executions_per_minute
run_20_repetition_0,TODO,dropna,Polars,Large, , 
run_7_repetition_0,TODO,groupby,Modin,Large, , 
run_11_repetition_0,TODO,sort,Polars,Large, , 
run_0_repetition_0,TODO,isna,Pandas,Large, , 
run_6_repetition_0,TODO,groupby,Pandas,Large, , 
run_12_repetition_0,TODO,mean,Pandas,Large, , 
run_25_repetition_0,TODO,concat,Modin,Large, , 
run_17_repetition_0,TODO,drop,Polars,Large, , 
run_8_repetition_0,TODO,groupby,Polars,Large, , 
run_10_repetition_0,TODO,sort,Modin,Large, , 
run_19_repetition_0,TODO,dropna,Modin,Large, , 
run_16_repetition_0,TODO,drop,Modin,Large, , 
run_24_repetition_0,TODO,concat,Pandas,Large, , 
run_23_repetition_0,TODO,fillna,Polars,Large, , 
run_9_repetition_0,TODO,sort,Pandas,Large, , 
run_5_repetition_0,TODO,replace,Polars,Large, , 
run_14_repetition_0,TODO,mean,Polars,Large, , 
run_4_repetition_0,TODO,replace,Modin,Large, , 
run_13_repetition_0,TODO,mean,Modin,Large, , 
run_26_repetition_0,TODO,concat,Polars,Large, , 
run_15_repetition_0,TODO,drop,Pandas,Large, , 
run_1_repetition_0,TODO,isna,Modin,Large, , 
run_2_repetition_0,TODO,isna,Polars,Large, , 
run_21_repetition_0,TODO,fillna,Pandas,Large, , 
run_3_repetition_0,TODO,replace,Pandas,Large, , 
run_18_repetition_0,TODO,dropna,Pandas,Large, , 
run_22_repetition_0,TODO,fillna,Modin,Large, , 
