__run_id,__done,DAT,Library,DataFrame size,avg_CPU_usage,avg_memory_usage,avg_execution_time,avg_energy_usage
run_0_repetition_0,TODO,isna,Pandas,Large, , , , 
run_1_repetition_0,TODO,isna,Pandas,Small, , , , 
run_2_repetition_0,TODO,isna,Modin,Large, , , , 
run_3_repetition_0,TODO,isna,Modin,Small, , , , 
run_4_repetition_0,TODO,isna,Vaex,Large, , , , 
run_5_repetition_0,TODO,isna,Vaex,Small, , , , 
run_6_repetition_0,TODO,isna,Polar,Large, , , , 
run_7_repetition_0,TODO,isna,Polar,Small, , , , 
run_8_repetition_0,TODO,isna,Dask,Large, , , , 
run_9_repetition_0,TODO,isna,Dask,Small, , , , 
run_10_repetition_0,TODO,replace,Pandas,Large, , , , 
run_11_repetition_0,TODO,replace,Pandas,Small, , , , 
run_12_repetition_0,TODO,replace,Modin,Large, , , , 
run_13_repetition_0,TODO,replace,Modin,Small, , , , 
run_14_repetition_0,TODO,replace,Vaex,Large, , , , 
run_15_repetition_0,TODO,replace,Vaex,Small, , , , 
run_16_repetition_0,TODO,replace,Polar,Large, , , , 
run_17_repetition_0,TODO,replace,Polar,Small, , , , 
run_18_repetition_0,TODO,replace,Dask,Large, , , , 
run_19_repetition_0,TODO,replace,Dask,Small, , , , 
run_20_repetition_0,TODO,groupby,Pandas,Large, , , , 
run_21_repetition_0,TODO,groupby,Pandas,Small, , , , 
run_22_repetition_0,TODO,groupby,Modin,Large, , , , 
run_23_repetition_0,TODO,groupby,Modin,Small, , , , 
run_24_repetition_0,TODO,groupby,Vaex,Large, , , , 
run_25_repetition_0,TODO,groupby,Vaex,Small, , , , 
run_26_repetition_0,TODO,groupby,Polar,Large, , , , 
run_27_repetition_0,TODO,groupby,Polar,Small, , , , 
run_28_repetition_0,TODO,groupby,Dask,Large, , , , 
run_29_repetition_0,TODO,groupby,Dask,Small, , , , 
run_30_repetition_0,TODO,sort,Pandas,Large, , , , 
run_31_repetition_0,TODO,sort,Pandas,Small, , , , 
run_32_repetition_0,TODO,sort,Modin,Large, , , , 
run_33_repetition_0,TODO,sort,Modin,Small, , , , 
run_34_repetition_0,TODO,sort,Vaex,Large, , , , 
run_35_repetition_0,TODO,sort,Vaex,Small, , , , 
run_36_repetition_0,TODO,sort,Polar,Large, , , , 
run_37_repetition_0,TODO,sort,Polar,Small, , , , 
run_38_repetition_0,TODO,sort,Dask,Large, , , , 
run_39_repetition_0,TODO,sort,Dask,Small, , , , 
run_40_repetition_0,TODO,mean,Pandas,Large, , , , 
run_41_repetition_0,TODO,mean,Pandas,Small, , , , 
run_42_repetition_0,TODO,mean,Modin,Large, , , , 
run_43_repetition_0,TODO,mean,Modin,Small, , , , 
run_44_repetition_0,TODO,mean,Vaex,Large, , , , 
run_45_repetition_0,TODO,mean,Vaex,Small, , , , 
run_46_repetition_0,TODO,mean,Polar,Large, , , , 
run_47_repetition_0,TODO,mean,Polar,Small, , , , 
run_48_repetition_0,TODO,mean,Dask,Large, , , , 
run_49_repetition_0,TODO,mean,Dask,Small, , , , 
run_50_repetition_0,TODO,csvin,Pandas,Large, , , , 
run_51_repetition_0,TODO,csvin,Pandas,Small, , , , 
run_52_repetition_0,TODO,csvin,Modin,Large, , , , 
run_53_repetition_0,TODO,csvin,Modin,Small, , , , 
run_54_repetition_0,TODO,csvin,Vaex,Large, , , , 
run_55_repetition_0,TODO,csvin,Vaex,Small, , , , 
run_56_repetition_0,TODO,csvin,Polar,Large, , , , 
run_57_repetition_0,TODO,csvin,Polar,Small, , , , 
run_58_repetition_0,TODO,csvin,Dask,Large, , , , 
run_59_repetition_0,TODO,csvin,Dask,Small, , , , 
run_60_repetition_0,TODO,jsonin,Pandas,Large, , , , 
run_61_repetition_0,TODO,jsonin,Pandas,Small, , , , 
run_62_repetition_0,TODO,jsonin,Modin,Large, , , , 
run_63_repetition_0,TODO,jsonin,Modin,Small, , , , 
run_64_repetition_0,TODO,jsonin,Vaex,Large, , , , 
run_65_repetition_0,TODO,jsonin,Vaex,Small, , , , 
run_66_repetition_0,TODO,jsonin,Polar,Large, , , , 
run_67_repetition_0,TODO,jsonin,Polar,Small, , , , 
run_68_repetition_0,TODO,jsonin,Dask,Large, , , , 
run_69_repetition_0,TODO,jsonin,Dask,Small, , , , 
run_70_repetition_0,TODO,fillna,Pandas,Large, , , , 
run_71_repetition_0,TODO,fillna,Pandas,Small, , , , 
run_72_repetition_0,TODO,fillna,Modin,Large, , , , 
run_73_repetition_0,TODO,fillna,Modin,Small, , , , 
run_74_repetition_0,TODO,fillna,Vaex,Large, , , , 
run_75_repetition_0,TODO,fillna,Vaex,Small, , , , 
run_76_repetition_0,TODO,fillna,Polar,Large, , , , 
run_77_repetition_0,TODO,fillna,Polar,Small, , , , 
run_78_repetition_0,TODO,fillna,Dask,Large, , , , 
run_79_repetition_0,TODO,fillna,Dask,Small, , , , 
run_80_repetition_0,TODO,concat,Pandas,Large, , , , 
run_81_repetition_0,TODO,concat,Pandas,Small, , , , 
run_82_repetition_0,TODO,concat,Modin,Large, , , , 
run_83_repetition_0,TODO,concat,Modin,Small, , , , 
run_84_repetition_0,TODO,concat,Vaex,Large, , , , 
run_85_repetition_0,TODO,concat,Vaex,Small, , , , 
run_86_repetition_0,TODO,concat,Polar,Large, , , , 
run_87_repetition_0,TODO,concat,Polar,Small, , , , 
run_88_repetition_0,TODO,concat,Dask,Large, , , , 
run_89_repetition_0,TODO,concat,Dask,Small, , , , 
run_90_repetition_0,TODO,merge,Pandas,Large, , , , 
run_91_repetition_0,TODO,merge,Pandas,Small, , , , 
run_92_repetition_0,TODO,merge,Modin,Large, , , , 
run_93_repetition_0,TODO,merge,Modin,Small, , , , 
run_94_repetition_0,TODO,merge,Vaex,Large, , , , 
run_95_repetition_0,TODO,merge,Vaex,Small, , , , 
run_96_repetition_0,TODO,merge,Polar,Large, , , , 
run_97_repetition_0,TODO,merge,Polar,Small, , , , 
run_98_repetition_0,TODO,merge,Dask,Large, , , , 
run_99_repetition_0,TODO,merge,Dask,Small, , , , 
run_0_repetition_1,TODO,isna,Pandas,Large, , , , 
run_1_repetition_1,TODO,isna,Pandas,Small, , , , 
run_2_repetition_1,TODO,isna,Modin,Large, , , , 
run_3_repetition_1,TODO,isna,Modin,Small, , , , 
run_4_repetition_1,TODO,isna,Vaex,Large, , , , 
run_5_repetition_1,TODO,isna,Vaex,Small, , , , 
run_6_repetition_1,TODO,isna,Polar,Large, , , , 
